[2022-09-13 09:10:56,661] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:129: ATM (Splice Site)
[2022-09-13 09:10:56,661] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:130: ATM (Nonsense)
[2022-09-13 09:10:59,481] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:135: ATM
[2022-09-13 09:10:59,481] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:136: BARD1
[2022-09-13 09:10:59,481] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:143: BCOR (Nonsense)
[2022-09-13 09:10:59,481] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:144: BCOR (Frameshift)
[2022-09-13 09:10:59,481] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:145: BCOR (Splice Site)
[2022-09-13 09:10:59,963] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:147: BCR
[2022-09-13 09:10:59,963] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:148: BLM
[2022-09-13 09:11:01,010] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:172: BRAF
[2022-09-13 09:11:01,010] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:193: BRCA1
[2022-09-13 09:11:01,010] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:196: BRCA1 (Oncogenic Mutations)
[2022-09-13 09:11:01,010] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:209: BRCA2
[2022-09-13 09:11:01,010] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:215: BRCA2 (Oncogenic Mutations)
[2022-09-13 09:11:01,010] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:222: BRCA2 (Nonsense)
[2022-09-13 09:11:01,010] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:227: BRIP1
[2022-09-13 09:11:01,010] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:234: CDK12
[2022-09-13 09:11:01,010] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:235: CHEK1
[2022-09-13 09:11:01,011] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:242: CHEK2
[2022-09-13 09:11:01,011] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:249: CTNNB1
[2022-09-13 09:11:01,476] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:251: DNMT3A (Nonsense)
[2022-09-13 09:11:01,476] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:252: DNMT3A (Frameshift)
[2022-09-13 09:11:01,476] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:253: DNMT3A (Splice Site)
[2022-09-13 09:11:01,901] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:255: EGFR
[2022-09-13 09:11:01,901] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:260: EGFR (Insertion)
[2022-09-13 09:11:02,091] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:280: EGFR (Nonsense)
[2022-09-13 09:11:02,091] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:283: EGFR (Nonsense)
[2022-09-13 09:11:02,276] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:285: EGFR (Deletion)
[2022-09-13 09:11:02,458] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:289: ERBB2 (Missense)
[2022-09-13 09:11:02,458] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:290: ERBB2
[2022-09-13 09:11:02,458] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:291: ERBB3 (Missense)
[2022-09-13 09:11:02,458] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:292: ERCC2 (Missense)
[2022-09-13 09:11:02,663] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:295: ESR1
[2022-09-13 09:11:02,663] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:296: ETV6 (Nonsense)
[2022-09-13 09:11:02,663] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:297: ETV6 (Frameshift)
[2022-09-13 09:11:02,663] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:298: EZH2 (Nonsense)
[2022-09-13 09:11:02,663] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:299: EZH2 (Frameshift)
[2022-09-13 09:11:03,749] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:305: FANCL
[2022-09-13 09:11:03,749] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:306: FBXW7 (Missense)
[2022-09-13 09:11:04,903] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:311: FLCN (Nonsense)
[2022-09-13 09:11:04,903] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:314: FLCN (Frameshift)
[2022-09-13 09:11:05,978] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:320: IDH1
[2022-09-13 09:11:09,842] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:332: IDH2
[2022-09-13 09:11:10,433] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:337: JAK1
[2022-09-13 09:11:11,369] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:340: JAK2
[2022-09-13 09:11:14,747] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:348: KIT
[2022-09-13 09:11:14,747] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:349: KIT (Oncogenic Mutations)
[2022-09-13 09:11:15,424] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:359: KIT
[2022-09-13 09:11:15,424] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:360: KIT
[2022-09-13 09:11:17,047] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:368: KIT
[2022-09-13 09:11:17,208] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:372: KIT
[2022-09-13 09:11:17,358] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:378: KRAS
[2022-09-13 09:11:17,358] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:380: KRAS
[2022-09-13 09:11:17,358] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:382: KRAS
[2022-09-13 09:11:17,358] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:384: KRAS
[2022-09-13 09:11:17,813] - metakb.transform.moa - WARNING : Variation Normalizer unable to normalize: moa.variant:391 using query: KRAS G12
[2022-09-13 09:11:17,873] - metakb.transform.moa - WARNING : Variation Normalizer unable to normalize: moa.variant:392 using query: KRAS G13
[2022-09-13 09:11:17,908] - metakb.transform.moa - WARNING : Variation Normalizer unable to normalize: moa.variant:393 using query: KRAS Q61
[2022-09-13 09:11:21,813] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:412: MC1R
[2022-09-13 09:11:21,992] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:414: MET (Splice Site)
[2022-09-13 09:11:21,992] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:415: MET (Deletion)
[2022-09-13 09:11:21,992] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:416: MET (Nonsense)
[2022-09-13 09:11:21,992] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:420: MLH3
[2022-09-13 09:11:22,164] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:422: MSH2
[2022-09-13 09:11:22,164] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:423: MSH6
[2022-09-13 09:11:22,164] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:424: MTOR
[2022-09-13 09:11:22,164] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:425: MYH
[2022-09-13 09:11:22,164] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:426: NFE2L2 (Activating mutation)
[2022-09-13 09:11:22,164] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:427: NRAS
[2022-09-13 09:11:22,164] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:429: NRAS (Missense)
[2022-09-13 09:11:25,666] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:449: PALB2
[2022-09-13 09:11:25,666] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:457: PBRM1 (Nonsense)
[2022-09-13 09:11:25,666] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:458: PDGFRA
[2022-09-13 09:11:26,097] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:461: PDGFRA
[2022-09-13 09:11:26,098] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:463: PBRM1 (Frameshift)
[2022-09-13 09:11:26,098] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:464: PIK3CA
[2022-09-13 09:11:26,098] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:465: PIK3CA
[2022-09-13 09:11:29,403] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:487: PIK3CB
[2022-09-13 09:11:40,016] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:492: POLD1
[2022-09-13 09:11:40,643] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:496: POLE
[2022-09-13 09:11:40,643] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:499: PRPF8
[2022-09-13 09:11:40,643] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:500: PTEN (Nonsense)
[2022-09-13 09:11:40,644] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:501: PTEN (Frameshift)
[2022-09-13 09:11:40,644] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:502: PTEN (Splice Site)
[2022-09-13 09:11:40,644] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:506: PTEN
[2022-09-13 09:11:40,644] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:511: PTPN11
[2022-09-13 09:11:40,644] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:512: RAD51B
[2022-09-13 09:11:40,644] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:513: RAD51C
[2022-09-13 09:11:40,644] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:520: RAD51D
[2022-09-13 09:11:40,644] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:527: RAD54L
[2022-09-13 09:11:40,644] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:528: RBM10
[2022-09-13 09:11:41,491] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:531: RET
[2022-09-13 09:11:41,491] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:533: RUNX1 (Nonsense)
[2022-09-13 09:11:41,491] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:534: RUNX1 (Frameshift)
[2022-09-13 09:11:44,871] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:537: SETBP1 (Missense)
[2022-09-13 09:11:50,935] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:542: SETBP1
[2022-09-13 09:11:53,279] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:557: SF3B1 (Missense)
[2022-09-13 09:11:54,250] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:562: SMARCA4 (Nonsense)
[2022-09-13 09:11:54,251] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:563: SMARCA4 (Frameshift)
[2022-09-13 09:11:54,251] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:564: SMARCA4 (Splice Site)
[2022-09-13 09:11:54,251] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:565: SPOP (Missense)
[2022-09-13 09:11:54,251] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:568: STAG2 (Nonsense)
[2022-09-13 09:11:54,251] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:569: STAG2 (Frameshift)
[2022-09-13 09:11:54,251] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:570: STAG2 (Splice Site)
[2022-09-13 09:11:54,251] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:571: TET2
[2022-09-13 09:11:54,251] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:572: TP53
[2022-09-13 09:11:54,251] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:573: TP53 (Nonsense)
[2022-09-13 09:11:54,251] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:574: TP53 (Frameshift)
[2022-09-13 09:11:54,251] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:575: TP53 (Splice Site)
[2022-09-13 09:11:54,251] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:576: TP53 (Missense)
[2022-09-13 09:11:54,251] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:580: TSC1 (Oncogenic Mutations)
[2022-09-13 09:11:54,251] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:581: TSC1 (Nonsense)
[2022-09-13 09:11:54,251] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:582: TSC1 (Frameshift)
[2022-09-13 09:11:54,251] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:585: TSC1
[2022-09-13 09:11:54,251] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:586: TSC2
[2022-09-13 09:11:54,251] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:587: TSC2 (Oncogenic Mutations)
[2022-09-13 09:11:54,251] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:588: TSC2 (Nonsense)
[2022-09-13 09:11:54,251] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:589: TSC2 (Frameshift)
[2022-09-13 09:11:54,251] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:592: ZRSR2 (Nonsense)
[2022-09-13 09:11:54,251] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:593: ZRSR2 (Frameshift)
[2022-09-13 09:11:54,251] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:594: ATM
[2022-09-13 09:11:54,252] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:595: ATM
[2022-09-13 09:11:54,252] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:596: ATM
[2022-09-13 09:11:54,252] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:597: BARD1
[2022-09-13 09:11:54,252] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:603: BRCA1
[2022-09-13 09:11:54,252] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:612: BRCA1
[2022-09-13 09:11:54,252] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:622: BRCA2
[2022-09-13 09:11:54,252] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:634: BRCA2
[2022-09-13 09:11:54,252] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:640: CHEK1
[2022-09-13 09:11:54,252] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:646: CHEK2
[2022-09-13 09:11:54,252] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:652: CHEK2
[2022-09-13 09:11:54,252] - metakb.transform.moa - WARNING : Variation Normalizer does not support moa.variant:653: EPCAM
