SAMPLE_ID	mutations	gistic	structural_variants
COG-N-452x	WXS	WXS	WXS
COG-N-453x	WXS	WXS	WXS
COG-N-471x	WXS	WXS	WXS
COG-N-480x	WXS	WXS	WXS
COG-N-496x	WXS	WXS	WXS
COG-N-519x	WXS	WXS	WXS
COG-N-549x	WXS	WXS	WXS
COG-N-557x	WXS	WXS	WXS
COG-N-560x	WXS	WXS	WXS
COG-N-561x	WXS	WXS	WXS
COG-N-564x	WXS	WXS	WXS
COG-N-589x	WXS	WXS	WXS
COG-N-590x	WXS	WXS	WXS
COG-N-603x	WXS	WXS	WXS
COG-N-618x	WXS	WXS	NA
COG-N-619x	WXS	WXS	WXS
COG-N-620x	WXS	WXS	WXS
COG-N-623x	WXS	WXS	WXS
COG-N-624x	WXS	WXS	WXS
COG-N-625x	WXS	WXS	WXS
COG-N-628x	WXS	WXS	NA
NB-1382	WXS	WXS	WXS
NB-1643	WXS	WXS	WXS
NB-1691	WXS	WXS	WXS
NB-1771	WXS	WXS	WXS
NB-EBc1	WXS	WXS	WXS
NB-Fly-623m	WXS	WXS	WXS
NB-SD	WXS	WXS	WXS
NCH-NB-1	WXS	WXS	WXS
NCH-OS-1	WXS	WXS	WXS
OS-1	WXS	WXS	WXS
OS-17	WXS	WXS	NA
OS-2	WXS	WXS	WXS
OS-25	WXS	NA	NA
OS-29	WXS	WXS	WXS
OS-31	WXS	WXS	WXS
OS-32	WXS	WXS	WXS
OS-33	WXS	WXS	WXS
OS-34	WXS	WXS	WXS
OS-34-SJ	WXS	WXS	WXS
OS-36	WXS	NA	NA
OS-36-SJ	WXS	WXS	NA
OS-41	WXS	WXS	WXS
OS-42	WXS	WXS	WXS
OS-43-TPMX	WXS	WXS	WXS
OS-44	WXS	WXS	WXS
OS-44-KPDX-x	WXS	WXS	WXS
OS-45-TSX-pr1	WXS	WXS	WXS
OS-46	WXS	WXS	WXS
OS-46-AOX	WXS	WXS	WXS
OS-47-SJ	WXS	WXS	WXS
OS-48	WXS	WXS	WXS
OS-49-SJ	WXS	WXS	WXS
OS-49-STTX-sc	WXS	WXS	WXS
OS-50-SJ	WXS	WXS	NA
OS-51-CHLX	WXS	WXS	WXS
OS-52-SJ	WXS	WXS	WXS
OS-54-OHS-x	WXS	WXS	WXS
