Hugo_Symbol	TARGET-52-NAAELV-50	TARGET-52-NAAELY-50	TARGET-52-NAAELZ-50	TARGET-52-PABKLN-01	TARGET-52-PADYZI-01	TARGET-52-PAJLWM-01	TARGET-52-PAJMRB-01	TARGET-52-PAJNER-01	TARGET-52-PAJNFP-01	TARGET-52-PAJNFZ-01	TARGET-52-PAKHTL-01	TARGET-52-PARECB-01	TARGET-52-PARGRN-01	TARGET-52-PARIRN-01	TARGET-52-PARPFY-01	TARGET-52-PARRCL-01	TARGET-52-PARUGK-01	TARGET-52-PARZBI-01	TARGET-52-PASABD-01	TARGET-52-PASADZ-01	TARGET-52-PASCDH-01	TARGET-52-PASDLA-01	TARGET-52-PASRHU-01	TARGET-52-PASVDP-01	TARGET-52-PASWZZ-01	TARGET-52-PASXNA-01	TARGET-52-PASYNF-01	TARGET-52-PASZYE-01	TARGET-52-PATAFT-01	TARGET-52-PATBLF-01	TARGET-52-PATDVL-01	TARGET-52-PATENH-01	TARGET-52-PATFXW-01	TARGET-52-PATFZZ-01	TARGET-52-PATXEE-01	TARGET-52-PATXKA-01	TARGET-52-PAUCGJ-01	TARGET-52-PAUDPV-01	TARGET-52-PAUEKW-01	TARGET-52-PAUFVP-01	TARGET-52-PAUGYZ-01	TARGET-52-PAUHAZ-01	TARGET-52-PAUNPA-01
hsa-mir-3936	0.090274	0.000000	0.000000	0.000000	0.104409	0.000000	0.133004	0.000000	0.000000	0.108592	0.000000	0.000000	0.000000	0.000000	0.190126	0.176402	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.069833	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.307875	0.000000	0.000000	0.000000	0.000000	0.000000	0.077275	0.087409	0.000000
hsa-mir-3937	0.045137	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.172957	0.000000	0.323929	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.087409	8.518477
hsa-mir-3938	1.986033	0.000000	0.000000	0.000000	0.104409	5.191605	0.000000	0.263976	1.880859	0.868732	2.193560	5.365170	3.182767	0.000000	0.570379	0.529206	1.633549	0.000000	1.505412	10.092115	0.134053	0.000000	0.000000	0.209500	0.000000	0.000000	3.109795	0.295600	0.000000	0.000000	1.187741	0.191839	3.715510	3.323916	0.000000	0.000000	0.000000	6.376380	3.769788	0.000000	0.927303	0.524457	2.335712
hsa-mir-3939	0.541645	0.445383	0.601540	0.134396	0.000000	0.305389	0.000000	0.131988	0.156738	0.542958	0.000000	0.000000	0.000000	0.000000	0.380253	0.176402	0.000000	0.000000	0.250902	0.720865	0.402159	0.000000	0.112938	0.139667	0.000000	0.000000	0.000000	0.147800	0.259436	0.000000	0.215953	0.000000	0.095269	0.138497	0.000000	0.120714	0.000000	0.122623	0.259985	0.000000	0.077275	0.174819	0.274790
hsa-mir-3940	16.700729	4.008445	13.414348	3.897480	0.313226	0.305389	4.123115	0.791928	2.507812	3.800704	1.206458	0.804776	4.880243	0.418445	3.897593	2.822433	0.907527	1.169827	0.752706	3.604327	1.206477	2.102961	1.129384	0.977668	2.194169	1.542502	0.588340	2.808196	1.729572	1.848141	2.159529	1.726554	0.666886	1.107972	3.078751	2.052136	1.983137	2.452454	0.649963	1.472551	1.854607	0.874095	6.457555
hsa-mir-3941	0.361097	0.989740	1.082772	0.671979	0.104409	1.221554	1.064030	1.055904	0.313477	0.108592	0.767746	0.536517	0.424369	1.255336	0.285190	0.705608	0.181505	0.212696	0.501804	0.000000	0.402159	0.315444	0.338815	0.488834	0.783632	0.578438	0.504291	0.886799	0.345914	0.000000	0.539882	0.191839	1.047964	0.276993	0.923625	1.327852	0.925464	0.490491	0.389978	0.409042	0.154551	0.262228	1.786132
hsa-mir-3942	0.586782	5.047672	2.586623	0.403188	0.522044	1.221554	0.665018	0.263976	0.000000	0.325775	0.000000	0.134129	1.060922	0.557927	0.285190	1.940423	0.544516	0.425392	0.334536	0.240288	1.876742	0.420592	0.564692	0.349167	0.940358	0.578438	1.176679	0.000000	0.345914	3.587568	0.539882	0.000000	0.381078	0.138497	0.153938	0.000000	0.661046	1.471472	1.039942	0.490850	0.231826	0.262228	0.137395
hsa-mir-3943	0.000000	0.000000	0.000000	0.268792	0.000000	0.000000	0.000000	0.000000	0.000000	0.217183	0.000000	0.000000	0.000000	0.000000	0.190126	0.176402	0.000000	0.000000	0.000000	0.000000	0.402159	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.383679	0.000000	0.000000	0.153938	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.686974
hsa-mir-3944	2.121444	1.088714	3.188163	0.671979	0.104409	0.000000	1.197033	0.395964	0.156738	1.194507	0.109678	0.134129	1.909660	0.557927	0.285190	1.411216	1.452043	0.000000	0.083634	2.162596	0.536212	0.315444	0.338815	0.698334	2.194169	0.771251	0.336194	1.034599	0.259436	0.978428	0.323929	0.575518	0.095269	0.415490	2.001188	0.241428	0.132209	0.735736	0.389978	0.409042	0.231826	0.087409	1.373948
hsa-mir-3945	0.000000	0.000000	0.120308	0.000000	0.000000	0.000000	0.266007	0.000000	0.000000	0.217183	0.000000	0.000000	0.000000	0.000000	0.095063	0.000000	0.907527	0.000000	0.000000	0.240288	0.000000	0.000000	0.000000	0.209500	0.000000	0.000000	0.084049	0.000000	0.000000	0.217428	0.000000	0.000000	0.000000	0.138497	0.153938	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
hsa-mir-3972	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
hsa-mir-3973	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
hsa-mir-3974	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
hsa-mir-3975	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
hsa-mir-3976	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
hsa-mir-3977	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
hsa-mir-3978	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
hsa-mir-409	0.361097	198.195348	21.294525	11.289251	192.320944	35.425072	411.779446	392.664370	192.944803	448.048670	471.615337	121.655236	2016.813498	31.941319	293.365166	513.859204	706.419139	210.143530	149.203039	349.379395	187.674227	1907.806392	578.583576	381.290508	243.866239	244.293755	280.049609	822.801489	325.505379	272.546451	1830.201170	377.731745	281.902391	139.742970	177.489990	381.335078	33.448911	452.109834	522.830617	519.237814	714.410017	594.821547	48.775153
