Hugo_Symbol	TARGET-52-NAAELV-50	TARGET-52-NAAELY-50	TARGET-52-NAAELZ-50	TARGET-52-PABKLN-01	TARGET-52-PADYZI-01	TARGET-52-PAJLWM-01	TARGET-52-PAJMRB-01	TARGET-52-PAJNER-01	TARGET-52-PAJNFP-01	TARGET-52-PAJNFZ-01	TARGET-52-PAKHTL-01	TARGET-52-PARECB-01	TARGET-52-PARGRN-01	TARGET-52-PARIRN-01	TARGET-52-PARPFY-01	TARGET-52-PARRCL-01	TARGET-52-PARUGK-01	TARGET-52-PARZBI-01	TARGET-52-PASABD-01	TARGET-52-PASADZ-01	TARGET-52-PASCDH-01	TARGET-52-PASDLA-01	TARGET-52-PASRHU-01	TARGET-52-PASVDP-01	TARGET-52-PASWZZ-01	TARGET-52-PASXNA-01	TARGET-52-PASYNF-01	TARGET-52-PASZYE-01	TARGET-52-PATAFT-01	TARGET-52-PATBLF-01	TARGET-52-PATDVL-01	TARGET-52-PATENH-01	TARGET-52-PATFXW-01	TARGET-52-PATFZZ-01	TARGET-52-PATXEE-01	TARGET-52-PATXKA-01	TARGET-52-PAUCGJ-01	TARGET-52-PAUDPV-01	TARGET-52-PAUEKW-01	TARGET-52-PAUFVP-01	TARGET-52-PAUGYZ-01	TARGET-52-PAUHAZ-01	TARGET-52-PAUNPA-01
hsa-mir-6715a	-0.1614	-0.1639	-0.1605	-0.1639	-0.1639	-0.1639	-0.1565	-0.1639	-0.1639	-0.1458	-0.1639	-0.1639	6.4792	-0.1639	-0.1639	-0.1541	-0.1538	-0.1639	-0.1639	-0.1639	-0.0299	-0.1639	-0.1576	-0.16	-0.1639	-0.1639	-0.1639	-0.1474	-0.1351	-0.1639	-0.1399	-0.1639	-0.148	-0.1562	-0.1553	-0.1371	-0.1565	-0.1571	-0.1422	-0.1639	-0.1639	-0.1202	-0.1639
hsa-mir-6715b	-0.1207	0.4617	-0.0635	-0.2927	-0.2927	-0.2927	0.7211	-0.2927	-0.2927	0.1211	-0.2927	-0.2927	6.1765	-0.2927	-0.2927	-0.2927	-0.2927	0.5179	-0.2927	-0.2927	0.2182	-0.2927	-0.2927	-0.2927	-0.2927	-0.2927	-0.2927	-0.2927	-0.2927	-0.2927	0.9418	-0.2927	-0.2927	-0.2927	-0.2927	-0.2927	-0.2927	-0.2927	-0.2927	0.0191	-0.2927	0.3735	-0.2927
hsa-mir-6716	-0.2591	-0.4828	-0.7711	0.1752	0.14	-0.1205	-0.7423	0.4527	-0.807	-0.8798	1.3605	-0.1314	1.6829	-0.7276	1.1838	-0.7772	0.6026	-0.8831	0.0941	4.0421	-0.0306	-0.8055	-0.4463	-0.78	2.5104	0.9966	-0.1544	0.0734	0.002	-0.3043	-0.6358	-0.6089	-0.3237	1.1547	-0.3457	-0.8614	-0.7441	-0.2097	-0.3561	-1.0439	-0.2845	-0.7796	0.8256
hsa-mir-6717	-0.4244	-0.4244	-0.4244	-0.4244	-0.4244	-0.4244	-0.4244	-0.4244	-0.4244	-0.4244	-0.4244	-0.4244	-0.4244	-0.4244	1.0194	-0.4244	-0.4244	2.806	-0.4244	-0.4244	-0.4244	-0.4244	-0.4244	2.7575	-0.4244	-0.4244	0.8522	-0.4244	-0.4244	-0.4244	-0.4244	-0.4244	-0.4244	3.7825	1.9136	-0.4244	-0.4244	-0.4244	-0.4244	0.8181	-0.4244	0.9032	-0.4244
hsa-mir-6718	3.0651	0.4742	-0.2281	-0.4624	-0.5224	-0.5162	-0.5008	-0.4769	-0.5224	-0.4739	-0.5113	-0.4925	-0.4492	-0.5139	-0.4143	3.0768	-0.5114	0.3736	-0.3272	-0.5224	0.5934	-0.0998	-0.1143	-0.5125	-0.4779	-0.5107	-0.5122	-0.4324	0.9172	-0.4253	1.6741	3.3177	-0.5128	-0.5224	-0.4099	-0.3239	1.3376	-0.0893	-0.438	-0.4826	-0.5036	-0.5029	-0.5141
hsa-mir-6719	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
hsa-mir-6720	-0.4292	4.4878	2.9757	-0.4292	-0.3866	-0.4292	-0.375	-0.4292	-0.4292	-0.4292	-0.4292	-0.4292	-0.3428	-0.4292	-0.2356	-0.1418	-0.3553	-0.3426	-0.2929	-0.4292	-0.1562	-0.2579	0.6746	-0.4007	-0.2377	-0.3506	-0.3949	2.7606	0.3456	-0.4292	-0.3412	0.5864	-0.3128	-0.4292	-0.4292	-0.38	-0.16	-0.0796	-0.3762	-0.4292	0.8295	-0.358	-0.3732
hsa-mir-6721	-0.9527	-0.658	-0.2363	1.4482	-0.9527	-0.9527	0.6313	-0.1667	-0.9527	-0.306	-0.9527	-0.9527	0.3108	-0.1221	1.8777	0.0978	-0.9527	-0.3194	-0.4546	-0.9527	2.2403	-0.3265	1.0649	-0.5368	-0.0194	-0.9527	0.0483	1.6876	-0.4377	-0.3053	-0.9527	0.1897	-0.9527	2.3461	0.8806	1.9226	1.4091	1.2379	-0.9527	-0.9527	-0.0324	-0.9527	-0.1345
hsa-mir-6722	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	6.4807	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543
hsa-mir-6723	0.6138	-0.8441	1.0988	-0.41	0.1676	0.1423	3.8814	1.7137	-0.8441	0.5589	-0.4898	-0.8441	1.8972	-0.8441	-0.8441	-0.2743	0.3284	0.1864	0.2364	-0.8441	1.7538	0.1748	-0.4793	-0.6185	-0.8441	-0.8441	-0.0297	-0.3667	-0.8441	-0.8441	-0.8441	-0.2245	-0.5364	-0.8441	1.1447	-0.0643	-0.8441	-0.448	-0.4242	1.0055	-0.0953	-0.8441	1.3748
hsa-mir-675	-0.4729	-0.4657	-0.4384	-0.4682	-0.4273	-0.2443	0.7978	-0.4186	-0.3956	-0.4319	-0.4495	-0.3603	5.8795	-0.2769	-0.439	1.0799	-0.3971	0.0303	-0.1368	-0.0924	-0.3244	0.3247	0.3134	-0.1666	-0.431	-0.425	-0.3574	0.6142	0.8771	-0.1497	0.8529	-0.3535	-0.4507	-0.3802	-0.4142	-0.2477	-0.4129	0.0287	-0.4433	-0.2537	0.4387	-0.1129	-0.3991
hsa-mir-676	-0.6194	-0.2032	0.3951	-0.3893	-0.38	-0.4521	-0.2211	-0.0548	0.3586	-0.5786	-0.437	-0.476	-0.512	0.1582	-0.2819	-0.195	-0.2985	-0.1017	-0.5409	-0.3396	-0.39	-0.3781	-0.213	-0.4689	0.3586	1.0859	-0.3244	0.871	-0.315	-0.1594	5.9419	0.2144	-0.0975	-0.5594	-0.3517	-0.4157	-0.5634	0.6909	0.4374	-0.0702	-0.4001	0.3063	-0.0304
hsa-mir-7-1	-0.5374	0.0354	1.336	-0.0097	-0.8173	-0.0974	-0.2895	-0.6068	-0.4798	-0.6685	0.4503	-0.5171	-0.3922	-0.4627	-0.1248	-0.3055	-0.0687	-0.6813	-0.0454	1.0593	-0.5045	-0.5056	0.0408	-0.2362	0.1638	0.8696	-0.4831	0.1572	-0.4134	0.0497	0.3732	-0.0135	-0.7511	0.6352	0.6724	-0.0686	-0.1759	-0.3042	5.5699	-0.8084	-0.7706	-0.7694	0.4957
hsa-mir-7-2	-0.1255	-0.2872	-0.2742	-0.244	-0.2866	-0.281	-0.2369	-0.2296	-0.2805	-0.2924	2.0925	-0.2831	-0.2617	-0.2582	-0.144	-0.2167	-0.1615	-0.2678	-0.2598	-0.173	-0.2753	-0.2498	-0.2593	-0.2135	-0.2349	-0.0633	-0.2792	-0.2557	-0.0021	-0.2292	-0.2422	-0.2653	-0.2766	0.4018	0.1219	0.2627	-0.1911	-0.2631	6.0118	-0.2892	-0.2852	-0.2733	-0.1789
